title,link,date_raw,image,category
Фитнес-центры эконом-класса появятся в Астане и Алматы,https://tengrinews.kz/sport/fitnes-centry-ekonom-klassa-poiaviatsia-v-astane-i-almaty-234539/,21 мая 2013,https://static.tengrinews.kz/userdata/news/2013/news_234539/thumb_xts/photo_89942.jpg.webp,sport
Казахстанские стрелки взяли серебро на чемпионате Азии по пулевой стрельбе,https://tengrinews.kz/sport/kazaxstanskie-strelki-vziali-serebro-cempionate-azii-pulevoi-225293/,16 декабря 2012,https://static.tengrinews.kz/userdata/news/2012/news_225293/thumb_xts/photo_74187.jpg.webp,sport
Винокуров готов продать свой велосипед за 50 тысяч долларов,https://tengrinews.kz/sport/vinokurov-gotov-prodat-svoi-velosiped-za-50-tysiac-dollarov-218900/,16 августа 2012,https://static.tengrinews.kz/img/stub-tengrinews.png.webp,sport
Танатаров пробился в полуфинал олимпийского турнира по вольной борьбе,https://tengrinews.kz/sport/tanatarov-probilsia-polufinal-olimpiiskogo-turnira-volnoi-218700/,12 августа 2012,https://static.tengrinews.kz/img/stub-tengrinews.png.webp,sport
Назван самый сексапильный участник Олимпиады-2012,https://tengrinews.kz/sport/nazvan-samyi-seksapilnyi-ucastnik-olimpiady-2012-218041/,29 июля 2012,https://static.tengrinews.kz/userdata/news/2012/news_218041/thumb_xts/photo_61872.jpg.webp,sport
19 золотых медалей завоевала юношеская сборная Казахстана на соревнованиях в Якутии,https://tengrinews.kz/sport/19-zolotyx-medalei-zavoevala-iunoseskaia-sbornaia-kazaxstana-217864/,25 июля 2012,https://static.tengrinews.kz/userdata/news/2012/news_217864/thumb_xts/photo_61539.jpg.webp,sport
В Алматы пройдет марафон в поддержку детей с ДЦП,https://tengrinews.kz/sport/v-almaty-proidet-marafon-v-podderzku-detei-s-dcp-214426/,21 мая 2012,https://static.tengrinews.kz/userdata/news/2012/news_214426/thumb_xts/photo_56106.jpg.webp,sport
Казахстанский проект обошел Netflix и Warner Bros,https://tengrinews.kz/cinema/kazahstanskiy-proekt-oboshel-netflix-i-warner-bros-586562/,25 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_586562/thumb_xts/photo_529017.jpg.webp,other
Победительница Silk Way Star Мишель Джозеф готовит песню на казахском языке,https://tengrinews.kz/music/pobeditelnitsa-silk-way-star-mishel-djozef-gotovit-pesnyu-586363/,23 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_586363/thumb_xts/photo_528807.jpg.webp,other
“Наши культура и история очень глубоко связаны“ – победительница Silk Way Star Мишель Джозеф,https://tengrinews.kz/music/nashi-kultura-istoriya-ochen-gluboko-svyazanyi-586356/,23 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_586356/thumb_xts/photo_528805.png.webp,other
"“Площадка, объединившая культурное разнообразие Азии“: как голосовали зрители мегапроекта Silk Way Star",https://tengrinews.kz/picture_art/ploschadka-obyedinivshaya-kulturnoe-raznoobrazie-azii-586354/,23 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_586354/thumb_xts/photo_528804.jpg.webp,other
Грандиозный финал Silk Way Star: как это было,https://tengrinews.kz/music/grandioznyiy-final-silk-way-star-kak-eto-byilo-586345/,23 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_586345/thumb_xts/photo_528788.jpg.webp,other
Определилась победительница Silk Way Star,https://tengrinews.kz/music/opredelilas-pobeditelnitsa-silk-way-star-586339/,22 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_586339/thumb_xts/photo_528784.jpg.webp,other
Трогательный момент между представителями Азербайджана и Армении произошел во время финала Silk Way Star,https://tengrinews.kz/music/trogatelnyiy-moment-predstavitelyami-azerbaydjana-armenii-586338/,22 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_586338/thumb_xts/photo_528779.jpg.webp,other
Финал Silk Way Star начался: Онлайн-трансляция,https://tengrinews.kz/music/final-silk-way-star-nachalsya-onlayn-translyatsiya-586248/,22 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_586248/thumb_xts/photo_528703.jpg.webp,other
Бельгийский дизайнер сравнила Silk Way Star с “Евровидением“,https://tengrinews.kz/music/belgiyskiy-dizayner-sravnila-silk-way-star-s-evrovideniem-585986/,18 ноября 2025,https://static.tengrinews.kz/userdata/news/2025/news_585986/thumb_xts/photo_528399.jpg.webp,other
Грандиозный финал Silk Way Star покажут в прямом эфире 22 ноября,https://tengrinews.kz/music/grandioznyiy-final-silk-way-star-pokajut-pryamom-efire-22-585291/,10 ноября 2025,https://tengrinews.kz/userdata/news/2025/news_585291/thumb_xts/photo_527623.jpg.webp,other
Автор “Сатанинского танго“ получил Нобелевскую премию по литературе,https://tengrinews.kz/books/avtor-sataninskogo-tango-poluchil-nobelevskuyu-premiyu-582800/,09 октября 2025,https://static.tengrinews.kz/userdata/news/2025/news_582800/thumb_xts/photo_524913.jpg.webp,other
Фильм “Кадет“ представит Казахстан на “Оскаре“: что о нем известно,https://tengrinews.kz/cinema/film-kadet-predstavit-kazahstan-oskare-o-nem-izvestno-581949/,29 сентября 2025,https://static.tengrinews.kz/userdata/news/2025/news_581949/thumb_xts/photo_523990.png.webp,other
Долгожданная премьера: представлен первый выпуск Silk Way Star,https://tengrinews.kz/music/dolgojdannaya-premera-predstavlen-pervyiy-vyipusk-silk-way-581302/,22 сентября 2025,https://tengrinews.kz/userdata/news/2025/news_581302/thumb_xts/photo_523275.jpg.webp,other
Астана встречает звезд: 12 участников Silk Way Star уже в столице,https://tengrinews.kz/music/astana-vstrechaet-zvezd-12-uchastnikov-silk-way-star-v-578753/,22 августа 2025,https://tengrinews.kz/userdata/news/2025/news_578753/thumb_xts/photo_520436.jpg.webp,other
Уникальная фотовыставка об истории Казахстана стартует в Астане,https://tengrinews.kz/picture_art/unikalnaya-fotovyistavka-istorii-kazahstana-startuet-astane-578530/,19 августа 2025,https://static.tengrinews.kz/userdata/news/2025/news_578530/thumb_xts/photo_520191.jpg.webp,other
Какие сюрпризы были на концерте J.Lo в Астане и что пишут казахстанцы,https://tengrinews.kz/music/kakie-syurprizyi-na-kontserte-jlo-astane-chto-pishut-577069/,02 августа 2025,https://static.tengrinews.kz/userdata/news/2025/news_577069/thumb_xts/photo_518545.jpg.webp,other
